date,year,month,month_number,month_name,weekday,weekday_number,weekday_name,is_weekend
2026-06-01,2026,2026-06,6,June,Monday,1,Monday,False
2026-06-02,2026,2026-06,6,June,Tuesday,2,Tuesday,False
2026-06-03,2026,2026-06,6,June,Wednesday,3,Wednesday,False
2026-06-04,2026,2026-06,6,June,Thursday,4,Thursday,False
2026-06-05,2026,2026-06,6,June,Friday,5,Friday,False
2026-06-06,2026,2026-06,6,June,Saturday,6,Saturday,True
2026-06-07,2026,2026-06,6,June,Sunday,7,Sunday,True
2026-06-08,2026,2026-06,6,June,Monday,1,Monday,False
2026-06-09,2026,2026-06,6,June,Tuesday,2,Tuesday,False
2026-06-10,2026,2026-06,6,June,Wednesday,3,Wednesday,False
2026-06-11,2026,2026-06,6,June,Thursday,4,Thursday,False
2026-06-12,2026,2026-06,6,June,Friday,5,Friday,False
2026-06-13,2026,2026-06,6,June,Saturday,6,Saturday,True
2026-06-14,2026,2026-06,6,June,Sunday,7,Sunday,True
2026-06-15,2026,2026-06,6,June,Monday,1,Monday,False
2026-06-16,2026,2026-06,6,June,Tuesday,2,Tuesday,False
2026-06-17,2026,2026-06,6,June,Wednesday,3,Wednesday,False
2026-06-18,2026,2026-06,6,June,Thursday,4,Thursday,False
2026-06-19,2026,2026-06,6,June,Friday,5,Friday,False
2026-06-20,2026,2026-06,6,June,Saturday,6,Saturday,True
2026-06-21,2026,2026-06,6,June,Sunday,7,Sunday,True
2026-06-22,2026,2026-06,6,June,Monday,1,Monday,False
2026-06-23,2026,2026-06,6,June,Tuesday,2,Tuesday,False
2026-06-24,2026,2026-06,6,June,Wednesday,3,Wednesday,False
2026-06-25,2026,2026-06,6,June,Thursday,4,Thursday,False
2026-06-26,2026,2026-06,6,June,Friday,5,Friday,False
2026-06-27,2026,2026-06,6,June,Saturday,6,Saturday,True
2026-06-28,2026,2026-06,6,June,Sunday,7,Sunday,True
2026-06-29,2026,2026-06,6,June,Monday,1,Monday,False
2026-06-30,2026,2026-06,6,June,Tuesday,2,Tuesday,False
2026-07-01,2026,2026-07,7,July,Wednesday,3,Wednesday,False
2026-07-02,2026,2026-07,7,July,Thursday,4,Thursday,False
2026-07-03,2026,2026-07,7,July,Friday,5,Friday,False
2026-07-04,2026,2026-07,7,July,Saturday,6,Saturday,True
2026-07-05,2026,2026-07,7,July,Sunday,7,Sunday,True
2026-07-06,2026,2026-07,7,July,Monday,1,Monday,False
2026-07-07,2026,2026-07,7,July,Tuesday,2,Tuesday,False
2026-07-08,2026,2026-07,7,July,Wednesday,3,Wednesday,False
2026-07-09,2026,2026-07,7,July,Thursday,4,Thursday,False
2026-07-10,2026,2026-07,7,July,Friday,5,Friday,False
2026-07-11,2026,2026-07,7,July,Saturday,6,Saturday,True
2026-07-12,2026,2026-07,7,July,Sunday,7,Sunday,True
2026-07-13,2026,2026-07,7,July,Monday,1,Monday,False
2026-07-14,2026,2026-07,7,July,Tuesday,2,Tuesday,False
2026-07-15,2026,2026-07,7,July,Wednesday,3,Wednesday,False
2026-07-16,2026,2026-07,7,July,Thursday,4,Thursday,False
2026-07-17,2026,2026-07,7,July,Friday,5,Friday,False
2026-07-18,2026,2026-07,7,July,Saturday,6,Saturday,True
2026-07-19,2026,2026-07,7,July,Sunday,7,Sunday,True
2026-07-20,2026,2026-07,7,July,Monday,1,Monday,False
2026-07-21,2026,2026-07,7,July,Tuesday,2,Tuesday,False
2026-07-22,2026,2026-07,7,July,Wednesday,3,Wednesday,False
2026-07-23,2026,2026-07,7,July,Thursday,4,Thursday,False
2026-07-24,2026,2026-07,7,July,Friday,5,Friday,False
2026-07-25,2026,2026-07,7,July,Saturday,6,Saturday,True
2026-07-26,2026,2026-07,7,July,Sunday,7,Sunday,True
2026-07-27,2026,2026-07,7,July,Monday,1,Monday,False
2026-07-28,2026,2026-07,7,July,Tuesday,2,Tuesday,False
2026-07-29,2026,2026-07,7,July,Wednesday,3,Wednesday,False
2026-07-30,2026,2026-07,7,July,Thursday,4,Thursday,False
2026-07-31,2026,2026-07,7,July,Friday,5,Friday,False
2026-08-01,2026,2026-08,8,August,Saturday,6,Saturday,True
2026-08-02,2026,2026-08,8,August,Sunday,7,Sunday,True
2026-08-03,2026,2026-08,8,August,Monday,1,Monday,False
2026-08-04,2026,2026-08,8,August,Tuesday,2,Tuesday,False
2026-08-05,2026,2026-08,8,August,Wednesday,3,Wednesday,False
2026-08-06,2026,2026-08,8,August,Thursday,4,Thursday,False
2026-08-07,2026,2026-08,8,August,Friday,5,Friday,False
2026-08-08,2026,2026-08,8,August,Saturday,6,Saturday,True
2026-08-09,2026,2026-08,8,August,Sunday,7,Sunday,True
2026-08-10,2026,2026-08,8,August,Monday,1,Monday,False
2026-08-11,2026,2026-08,8,August,Tuesday,2,Tuesday,False
2026-08-12,2026,2026-08,8,August,Wednesday,3,Wednesday,False
2026-08-13,2026,2026-08,8,August,Thursday,4,Thursday,False
2026-08-14,2026,2026-08,8,August,Friday,5,Friday,False
2026-08-15,2026,2026-08,8,August,Saturday,6,Saturday,True
2026-08-16,2026,2026-08,8,August,Sunday,7,Sunday,True
2026-08-17,2026,2026-08,8,August,Monday,1,Monday,False
2026-08-18,2026,2026-08,8,August,Tuesday,2,Tuesday,False
2026-08-19,2026,2026-08,8,August,Wednesday,3,Wednesday,False
2026-08-20,2026,2026-08,8,August,Thursday,4,Thursday,False
2026-08-21,2026,2026-08,8,August,Friday,5,Friday,False
2026-08-22,2026,2026-08,8,August,Saturday,6,Saturday,True
2026-08-23,2026,2026-08,8,August,Sunday,7,Sunday,True
2026-08-24,2026,2026-08,8,August,Monday,1,Monday,False
2026-08-25,2026,2026-08,8,August,Tuesday,2,Tuesday,False
2026-08-26,2026,2026-08,8,August,Wednesday,3,Wednesday,False
2026-08-27,2026,2026-08,8,August,Thursday,4,Thursday,False
2026-08-28,2026,2026-08,8,August,Friday,5,Friday,False
2026-08-29,2026,2026-08,8,August,Saturday,6,Saturday,True
2026-08-30,2026,2026-08,8,August,Sunday,7,Sunday,True
2026-08-31,2026,2026-08,8,August,Monday,1,Monday,False
2026-09-01,2026,2026-09,9,September,Tuesday,2,Tuesday,False
2026-09-02,2026,2026-09,9,September,Wednesday,3,Wednesday,False
2026-09-03,2026,2026-09,9,September,Thursday,4,Thursday,False
2026-09-04,2026,2026-09,9,September,Friday,5,Friday,False
2026-09-05,2026,2026-09,9,September,Saturday,6,Saturday,True
2026-09-06,2026,2026-09,9,September,Sunday,7,Sunday,True
2026-09-07,2026,2026-09,9,September,Monday,1,Monday,False
2026-09-08,2026,2026-09,9,September,Tuesday,2,Tuesday,False
2026-09-09,2026,2026-09,9,September,Wednesday,3,Wednesday,False
2026-09-10,2026,2026-09,9,September,Thursday,4,Thursday,False
2026-09-11,2026,2026-09,9,September,Friday,5,Friday,False
2026-09-12,2026,2026-09,9,September,Saturday,6,Saturday,True
